iter	RMSE
230	6846.601667
231	6821.716296
232	6796.403696
233	6765.89676
234	6734.010562
235	6716.133238
236	6689.437558
237	6667.967946
238	6644.469723
239	6617.027734
240	6588.916144
241	6572.826148
242	6552.458276
243	6521.944946
244	6499.92932
245	6471.192546
246	6448.384731
247	6419.015904
248	6403.738921
249	6378.04167
250	6358.040227
251	6338.252852
252	6320.095163
253	6308.290433
254	6290.112851
255	6272.071712
256	6252.269979
257	6219.945276
258	6196.71334
259	6170.502874
260	6150.716183
261	6120.247462
262	6087.328828
263	6041.592576
264	6029.083084
265	6000.765521
266	5973.631779
267	5955.752797
268	5924.728007
269	5889.30225
270	5876.669786
271	5854.456041
272	5832.164922
273	5813.230675
274	5788.701923
275	5769.473597
276	5742.948231
277	5718.61971
278	5707.798482
279	5668.620991
280	5643.134401
281	5623.807574
282	5602.812549
283	5574.652423
284	5549.431236
285	5523.412653
286	5493.470558
287	5473.749729
288	5457.814943
289	5415.287886
290	5399.915984
291	5386.600129
292	5364.749628
293	5342.12774
294	5324.746922
295	5299.51615
296	5285.958889
297	5266.719965
298	5247.068087
299	5229.714409
300	5205.991789
301	5189.472342
302	5170.868082
303	5144.752802
304	5130.775369
305	5119.788085
306	5105.393067
307	5091.385721
308	5071.696988
309	5043.98975
310	5021.497213
311	5010.545265
312	4994.670061
313	4967.29077
314	4947.392438
315	4937.2261
316	4916.817754
317	4902.233286
318	4884.487597
319	4867.360066
320	4855.807859
321	4841.108462
322	4824.909318
323	4801.359934
324	4778.535509
325	4755.066934
326	4728.087393
327	4713.18395
328	4686.198278
329	4666.140104
330	4645.779559
331	4632.798943
332	4624.505319
333	4608.819609
334	4594.59799
335	4581.98224
336	4559.835797
337	4541.906284
338	4529.315726
339	4509.872159
340	4499.608829
341	4482.944851
342	4462.273872
343	4451.405411
344	4435.208962
345	4421.389913
346	4398.738338
347	4387.21093
348	4376.697504
349	4361.296742
350	4342.736298
351	4338.619626
352	4308.480483
353	4295.297124
354	4276.046137
355	4266.936639
356	4252.48368
357	4242.488354
358	4227.554343
359	4213.684998
360	4200.995842
361	4180.584056
362	4170.667412
363	4159.698305
364	4138.623083
365	4121.538503
366	4118.220471
367	4102.497395
368	4087.955494
369	4079.428873
370	4063.26302
371	4044.300675
372	4024.999366
373	4006.766718
374	3992.828632
375	3975.752509
376	3966.976675
377	3962.50081
378	3957.383011
379	3945.324515
380	3936.68284
381	3927.185306
382	3911.889144
383	3895.659876
384	3883.79421
385	3867.590465
386	3859.315658
387	3851.023699
388	3830.023288
389	3815.628015
390	3802.532682
391	3797.543973
392	3785.297077
393	3775.124951
394	3767.089732
395	3749.184478
396	3733.045493
397	3718.915844
398	3706.432907
399	3695.652535
400	3690.355574
401	3680.689309
402	3667.341844
403	3663.169035
404	3653.087828
405	3634.853791
406	3623.539981
407	3609.027504
408	3598.847346
409	3587.433764
410	3573.944237
411	3560.937928
412	3546.444184
413	3537.563731
414	3528.734202
415	3514.034396
416	3500.457287
417	3486.929656
418	3475.314273
419	3466.026205
420	3454.487386
421	3444.845222
422	3434.730613
423	3424.500601
424	3419.50472
425	3406.927617
426	3394.983535
427	3384.921704
428	3365.819241
429	3354.567331
430	3342.753127
431	3337.237095
432	3317.715122
433	3306.083527
434	3293.073572
435	3284.401472
436	3277.732517
437	3268.22455
438	3250.737111
439	3243.316626
440	3233.879684
441	3223.396301
442	3214.215868
443	3208.07003
444	3204.540271
445	3194.51259
446	3185.715824
447	3173.715961
448	3167.626838
449	3157.031205
450	3147.99548
451	3138.929693
452	3129.195705
453	3120.091553
454	3112.41499
455	3101.527052
456	3092.327818
457	3084.204658
458	3074.683982
459	3058.997071
460	3047.03024
461	3043.702732
462	3028.367581
463	3022.076707
464	3008.960012
465	3001.319376
466	2989.780023
467	2981.707779
468	2969.559241
469	2960.748101
470	2949.018675
471	2942.520523
472	2936.652894
473	2931.554083
474	2922.166503
475	2905.808133
476	2896.675426
477	2891.532208
478	2883.14407
479	2870.839037
480	2866.021425
481	2850.890371
482	2837.005074
483	2828.802534
484	2822.294564
485	2812.023721
486	2802.766021
487	2795.504013
488	2785.814139
489	2778.421688
490	2770.218794
491	2763.96148
492	2755.597691
493	2745.136971
494	2734.789398
495	2729.027016
496	2721.313678
497	2711.813668
498	2702.913005
499	2694.317484
